url,title,price,location,rooms,area,floor
https://krisha.kz/a/show/1007619806?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=48,2-комнатная квартира · 60 м² · 7 этаж,390 000 〒 за месяц,"Бостандыкский р-н, Каныша Сатпаева 133/1",,,
https://krisha.kz/a/show/1007209554?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=49,1-комнатная квартира · 40 м² · 11/12 этаж,250 000 〒 за месяц,"Наурызбайский р-н, мкр Шугыла, Коктерек 139/15 — Коктерек 139",,,
https://krisha.kz/a/show/761139108?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=50,3-комнатная квартира · 55.8 м² · 2/5 этаж,330 000 〒 за месяц,"Алмалинский р-н, Панфилова — Панфилова Маметовой",,,
https://krisha.kz/a/show/1007721285?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=51,1-комнатная квартира · 28 м² · 5/6 этаж,200 000 〒 за месяц,"Бостандыкский р-н, Кенесары хана 83/4",,,
https://krisha.kz/a/show/1007721123?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=52,2-комнатная квартира · 54 м² · 3/5 этаж,250 000 〒 за месяц,"Алмалинский р-н, мкр Тастак-3 34",,,
https://krisha.kz/a/show/1006641047?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=53,3-комнатная квартира · 75 м² · 3/9 этаж,500 000 〒 за месяц,"Бостандыкский р-н, Сатпаева 62",,,
https://krisha.kz/a/show/1007510522?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=54,2-комнатная квартира · 80 м² · 5/20 этаж,500 000 〒 за месяц,"Бостандыкский р-н, Аль-Фараби — Сейфуллина",,,
https://krisha.kz/a/show/1007375255?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=55,3-комнатная квартира · 120 м² · 4/8 этаж,750 000 〒 за месяц,"Бостандыкский р-н, Арайлы 12",,,
https://krisha.kz/a/show/1007541109?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=56,3-комнатная квартира · 110 м² · 5/15 этаж,700 000 〒 за месяц,"Бостандыкский р-н, Сатпаева",,,
https://krisha.kz/a/show/1007538551?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=57,3-комнатная квартира · 110 м² · 3/12 этаж,600 000 〒 за месяц,"Бостандыкский р-н, Розыбакиева",,,
https://krisha.kz/a/show/1007509773?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=58,2-комнатная квартира · 80 м² · 5/12 этаж,450 000 〒 за месяц,"Бостандыкский р-н, Розыбакиева",,,
https://krisha.kz/a/show/1007641186?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=59,2-комнатная квартира · 55 м² · 5/12 этаж,330 000 〒 за месяц,"Бостандыкский р-н, Каныша Сатпаева",,,
https://krisha.kz/a/show/687126119?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=60,1-комнатная квартира · 30 м² · 9/12 этаж,320 000 〒 за месяц,"Алмалинский р-н, Шевченко 85",,,
https://krisha.kz/a/show/1007616302?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=61,2-комнатная квартира · 75 м² · 3/12 этаж,370 000 〒 за месяц,"Алмалинский р-н, Жамбыла",,,
https://krisha.kz/a/show/673839655?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=62,1-комнатная квартира · 33 м² · 4/5 этаж,280 000 〒 за месяц,"Бостандыкский р-н, мкр Орбита-1 6",,,
